job_id,job_title,company,location,work_setup,employment_type,salary,posted_date,job_description
JP0005,Senior Data Analyst,Banwa Digital,"Taguig, Metro Manila",WFH,Contract,"PHP 68,000-87,000 monthly",01/10/2026,"Banwa Digital is looking for a Senior Data Analyst based in Taguig. Responsibilities include working with Statistics, Power BI, SQL, Python. The ideal candidate has strong analytical and communication skills."
JP0081,SENIOR AI/ML ENGINEER,Hiraya Techworks,"Mandaluyong, Metro Manila",Remote,Contract,₱180.0K - ₱230.0K /mo,27-May-26,"Hiraya Techworks is looking for a Senior AI/ML Engineer based in Mandaluyong. Responsibilities include working with Python, PyTorch, TensorFlow. The ideal candidate has strong analytical and communication skills."
JP0034,Senior Data Analyst,Tagpo Technologies,"Quezon City, Metro Manila",Hybrid ,full-time,₱68.0K - ₱87.0K /mo,2026-03-02,"Tagpo Technologies is looking for a Senior Data Analyst based in Quezon City. Responsibilities include working with Tableau, Power BI, Python. The ideal candidate has strong analytical and communication skills."
JP0013,Junior Analytics Engineer,Tagpo Technologies,"Taguig, Metro Manila",remote,Full Time,,01/22/2026,"Tagpo Technologies is looking for a Junior Analytics Engineer based in Taguig. Responsibilities include working with Git, SQL, dbt, Python, Snowflake, Data Modeling. The ideal candidate has strong analytical and communication skills."
JP0027,Senior Business Intelligence Analyst,Siklab Innovations,"Davao City, Davao Region",Hybrid ,Full-time,,18-Feb-26,"Siklab Innovations is looking for a Senior Business Intelligence Analyst based in Davao City. Responsibilities include working with Power BI, Data Modeling, SQL, Tableau, DAX. The ideal candidate has strong analytical and communication skills."
JP0099,Lead Business Intelligence Analyst,Bughaw Systems,"Quezon City, Metro Manila",Hybrid ,Contract,₱109.0K - ₱139.0K /mo,"Jun 30, 2026","Bughaw Systems is looking for a Lead Business Intelligence Analyst based in Quezon City. Responsibilities include working with Tableau, Power BI, Data Modeling, SQL, Power Query. The ideal candidate has strong analytical and communication skills."
JP0056,Senior Data Scientist,Saysay Technologies,"Taguig, Metro Manila",Hybrid,Full Time,"₱147,000 - ₱188,000 / month","Apr 12, 2026","Saysay Technologies is looking for a Senior Data Scientist based in Taguig. Responsibilities include working with Deep Learning, Statistics, SQL, Machine Learning, Pandas. The ideal candidate has strong analytical and communication skills."
JP0023,Junior Data Scientist (Urgent),Bughaw Systems,"Taguig, Metro Manila",Hybrid,Full-time,"₱71,000 - ₱90,000 / month",2026-02-10,"Bughaw Systems is looking for a Junior Data Scientist based in Taguig. Responsibilities include working with Pandas, Statistics, Deep Learning, Python, Machine Learning. The ideal candidate has strong analytical and communication skills."
JP0077,Junior Data Engineer,Alon Digital Ventures,"Quezon City, Metro Manila",WFH,full-time,"PHP 67,000-85,000 monthly","May 20, 2026","Alon Digital Ventures is looking for a Junior Data Engineer based in Quezon City. Responsibilities include working with Python, Airflow, Spark, ETL, Snowflake. The ideal candidate has strong analytical and communication skills."
JP0045,Data Analyst (Urgent),Alon Digital Ventures,"Cebu City, Central Visayas",Hybrid ,Full-time ,,"Mar 24, 2026","Alon Digital Ventures is looking for a Data Analyst based in Cebu City. Responsibilities include working with Tableau, Power BI, Statistics, Python. The ideal candidate has strong analytical and communication skills."
JP0073,Data Scientist (Remote),Duyan AI Labs,"Mandaluyong, Metro Manila",Remote,Permanent,,05/14/2026,"Duyan AI Labs is looking for a Data Scientist based in Mandaluyong. Responsibilities include working with Python, Deep Learning, SQL. The ideal candidate has strong analytical and communication skills."
JP0016,Data Analyst,Siklab Innovations,"Davao City, Davao Region",Hybrid ,Full Time,,2026-01-30,"Siklab Innovations is looking for a Data Analyst based in Davao City. Responsibilities include working with Python, Statistics, Tableau. The ideal candidate has strong analytical and communication skills."
JP0043,Junior Analytics Engineer,Tagpo Technologies,"Davao City, Davao Region",Hybrid,Permanent,"₱52,000 - ₱66,000 / month","Mar 21, 2026","Tagpo Technologies is looking for a Junior Analytics Engineer based in Davao City. Responsibilities include working with dbt, Python, SQL. The ideal candidate has strong analytical and communication skills."
JP0041,Junior Data Engineer,Bughaw Systems,"Mandaluyong, Metro Manila",Onsite,Full-time ,,"Mar 14, 2026","Bughaw Systems is looking for a Junior Data Engineer based in Mandaluyong. Responsibilities include working with Snowflake, SQL, Azure. The ideal candidate has strong analytical and communication skills."
JP0010,JUNIOR DATA ANALYST,Luntian Networks,"Mandaluyong, Metro Manila",remote,Full Time,,19-Jan-26,"Luntian Networks is looking for a Junior Data Analyst based in Mandaluyong. Responsibilities include working with Python, Excel, Power BI, SQL. The ideal candidate has strong analytical and communication skills."
JP0086,Senior Data Engineer (Remote),Hiraya Techworks,"Mandaluyong, Metro Manila",On-site,Full-time,₱134.0K - ₱171.0K /mo,05-Jun-26,"Hiraya Techworks is looking for a Senior Data Engineer based in Mandaluyong. Responsibilities include working with Airflow, ETL, Snowflake, SQL, Python. The ideal candidate has strong analytical and communication skills."
JP0012,Senior AI/ML Engineer,Kislap Labs,"Cebu City, Central Visayas",remote,Contract,,01/21/2026,"Kislap Labs is looking for a Senior AI/ML Engineer based in Cebu City. Responsibilities include working with TensorFlow, Generative AI, Python, PyTorch, Machine Learning, NLP. The ideal candidate has strong analytical and communication skills."
JP0046,Junior Data Analyst (Urgent),Banwa Digital,"Davao City, Davao Region",WFH,Contract,"Up to ₱37,000/month","Mar 24, 2026","Banwa Digital is looking for a Junior Data Analyst based in Davao City. Responsibilities include working with Power BI, Python, Excel, Statistics, Tableau, SQL. The ideal candidate has strong analytical and communication skills."
JP0079,Senior Data Scientist,Alon Digital Ventures,"Davao City, Davao Region",remote,Permanent,₱131.0K - ₱168.0K /mo,05/25/2026,"Alon Digital Ventures is looking for a Senior Data Scientist based in Davao City. Responsibilities include working with Machine Learning, SQL, Pandas, Deep Learning, Python. The ideal candidate has strong analytical and communication skills."
JP0029,DATA ENGINEER,Hiraya Techworks,"Iloilo City, Western Visayas",Onsite,full-time,"Up to ₱106,000/month","Feb 20, 2026","Hiraya Techworks is looking for a Data Engineer based in Iloilo City. Responsibilities include working with SQL, Python, Spark, Airflow, Snowflake, ETL. The ideal candidate has strong analytical and communication skills."
JP0080,Data Analyst,Bughaw Systems,"Taguig, Metro Manila",remote,Full Time,"PHP 45,000-58,000 monthly",24-May-26,"Bughaw Systems is looking for a Data Analyst based in Taguig. Responsibilities include working with Statistics, Tableau, Excel, SQL. The ideal candidate has strong analytical and communication skills."
JP0006,ANALYTICS ENGINEER,Alon Digital Ventures,"Taguig, Metro Manila",remote,Full-time,"84,000 to 107,000 PHP per month","Jan 10, 2026","Alon Digital Ventures is looking for a Analytics Engineer based in Taguig. Responsibilities include working with dbt, Snowflake, SQL, Data Modeling, Git, Python. The ideal candidate has strong analytical and communication skills."
JP0063,AI/ML Engineer (Remote),Alon Digital Ventures,"Cebu City, Central Visayas",Hybrid ,full-time,"115,000 to 147,000 PHP per month",04/23/2026,"Alon Digital Ventures is looking for a AI/ML Engineer based in Cebu City. Responsibilities include working with Generative AI, NLP, TensorFlow, Machine Learning, PyTorch. The ideal candidate has strong analytical and communication skills."
JP0057,JUNIOR DATA ANALYST,Kislap Labs,"Makati, Metro Manila",On-site,full-time,"₱33,000 - ₱42,000 / month","Apr 13, 2026","Kislap Labs is looking for a Junior Data Analyst based in Makati. Responsibilities include working with Python, SQL, Tableau, Statistics. The ideal candidate has strong analytical and communication skills."
JP0040,Junior Analytics Engineer,Kislap Labs,"Cebu City, Central Visayas",Remote,Full Time,"Up to ₱66,000/month",2026-03-13,"Kislap Labs is looking for a Junior Analytics Engineer based in Cebu City. Responsibilities include working with Git, SQL, dbt. The ideal candidate has strong analytical and communication skills."
JP0036,AI/ML ENGINEER,Siklab Innovations,"Mandaluyong, Metro Manila",remote,full-time,"Up to ₱164,000/month",07-Mar-26,"Siklab Innovations is looking for a AI/ML Engineer based in Mandaluyong. Responsibilities include working with PyTorch, Python, NLP, Machine Learning, Generative AI, TensorFlow. The ideal candidate has strong analytical and communication skills."
JP0017,JUNIOR BUSINESS INTELLIGENCE ANALYST  ,Duyan AI Labs,"Quezon City, Metro Manila",Remote,Full-time,"Up to ₱56,000/month",01/31/2026,"Duyan AI Labs is looking for a Junior Business Intelligence Analyst based in Quezon City. Responsibilities include working with Power BI, DAX, SQL, Data Modeling, Power Query, Tableau. The ideal candidate has strong analytical and communication skills."
JP0067,Data Scientist,Luntian Networks,"Makati, Metro Manila",Hybrid ,Permanent,"Up to ₱125,000/month",01-May-26,"Luntian Networks is looking for a Data Scientist based in Makati. Responsibilities include working with Deep Learning, Pandas, Python, Machine Learning, SQL. The ideal candidate has strong analytical and communication skills."
JP0035,Senior Data Engineer,Saysay Technologies,"Makati, Metro Manila",On-site,Contract,"134,000 to 171,000 PHP per month",03-Mar-26,"Saysay Technologies is looking for a Senior Data Engineer based in Makati. Responsibilities include working with Python, SQL, Azure. The ideal candidate has strong analytical and communication skills."
JP0008,Senior Product Analyst,Hiraya Techworks,"Davao City, Davao Region",Hybrid ,Contract,,"Jan 15, 2026","Hiraya Techworks is looking for a Senior Product Analyst based in Davao City. Responsibilities include working with SQL, Tableau, Python, Excel, Statistics. The ideal candidate has strong analytical and communication skills."
JP0044,SENIOR DATA SCIENTIST,Alon Digital Ventures,"Pasig, Metro Manila",WFH,Full-time,"147,000 to 188,000 PHP per month",19-Mar-26,"Alon Digital Ventures is looking for a Senior Data Scientist based in Pasig. Responsibilities include working with Deep Learning, Python, Machine Learning. The ideal candidate has strong analytical and communication skills."
JP0069,Analytics Engineer (Urgent),Siklab Innovations,"Quezon City, Metro Manila",Hybrid,Full Time,"PHP 81,000-103,000 monthly",2026-05-07,"Siklab Innovations is looking for a Analytics Engineer based in Quezon City. Responsibilities include working with dbt, Data Modeling, Git. The ideal candidate has strong analytical and communication skills."
JP0070,Senior AI/ML Engineer (Urgent),,"Makati, Metro Manila",Remote,Full-time,"Up to ₱230,000/month",08-May-26,"Kislap Labs is looking for a Senior AI/ML Engineer based in Makati. Responsibilities include working with TensorFlow, Machine Learning, NLP. The ideal candidate has strong analytical and communication skills."
JP0028,Data Analyst,,"Cebu City, Central Visayas",Remote,Permanent,"₱40,000 - ₱52,000 / month",18-Feb-26,"Siklab Innovations is looking for a Data Analyst based in Cebu City. Responsibilities include working with Power BI, Statistics, Excel. The ideal candidate has strong analytical and communication skills."
JP0020,Junior Business Intelligence Analyst (Remote),Kislap Labs,"Davao City, Davao Region",Hybrid,Permanent,"PHP 39,000-50,000 monthly",02/05/2026,"Kislap Labs is looking for a Junior Business Intelligence Analyst based in Davao City. Responsibilities include working with DAX, Tableau, Power BI, SQL. The ideal candidate has strong analytical and communication skills."
JP0085,Data Analyst  ,Kislap Labs,"Mandaluyong, Metro Manila",remote,Full Time,,05-Jun-26,"Kislap Labs is looking for a Data Analyst based in Mandaluyong. Responsibilities include working with Tableau, Statistics, Python, SQL, Power BI. The ideal candidate has strong analytical and communication skills."
JP0026,Senior Analytics Engineer,Tagpo Technologies,"Makati, Metro Manila",WFH,full-time,"126,000 to 161,000 PHP per month",17-Feb-26,"Tagpo Technologies is looking for a Senior Analytics Engineer based in Makati. Responsibilities include working with dbt, Git, SQL, Snowflake. The ideal candidate has strong analytical and communication skills."
JP0074,Junior Data Scientist,Siklab Innovations,"Cebu City, Central Visayas",remote,Full-time,"Up to ₱80,000/month","May 13, 2026","Siklab Innovations is looking for a Junior Data Scientist based in Cebu City. Responsibilities include working with Machine Learning, SQL, Statistics, Deep Learning, Python. The ideal candidate has strong analytical and communication skills."
JP0050,Junior AI/ML Engineer,Banwa Digital,"Makati, Metro Manila",Remote,Full-time,,"Apr 02, 2026","Banwa Digital is looking for a Junior AI/ML Engineer based in Makati. Responsibilities include working with Generative AI, Python, TensorFlow, PyTorch, NLP, Machine Learning. The ideal candidate has strong analytical and communication skills."
JP0014,SENIOR DATA ANALYST - HYBRID,Siklab Innovations,"Pasig, Metro Manila",Remote,Permanent,"68,000 to 87,000 PHP per month",24-Jan-26,"Siklab Innovations is looking for a Senior Data Analyst based in Pasig. Responsibilities include working with SQL, Statistics, Power BI, Tableau, Excel, Python. The ideal candidate has strong analytical and communication skills."
JP0025,Junior Business Intelligence Analyst,Saysay Technologies,"Makati, Metro Manila",WFH,Full-time,"44,000 to 56,000 PHP per month",02/15/2026,"Saysay Technologies is looking for a Junior Business Intelligence Analyst based in Makati. Responsibilities include working with Data Modeling, Power Query, Power BI, DAX. The ideal candidate has strong analytical and communication skills."
JP0004,Junior Analytics Engineer,Siklab Innovations,"Davao City, Davao Region",Hybrid,Full-time ,"₱54,000 - ₱69,000 / month",01/06/2026,"Siklab Innovations is looking for a Junior Analytics Engineer based in Davao City. Responsibilities include working with Snowflake, Python, dbt. The ideal candidate has strong analytical and communication skills."
JP0018,Data Scientist,,"Makati, Metro Manila",remote,Permanent,"PHP 98,000-125,000 monthly",03-Feb-26,"Saysay Technologies is looking for a Data Scientist based in Makati. Responsibilities include working with Python, Machine Learning, Statistics, Deep Learning. The ideal candidate has strong analytical and communication skills."
JP0039,Junior Data Analyst,Siklab Innovations,"Cebu City, Central Visayas",WFH,full-time,"PHP 29,000-37,000 monthly",13-Mar-26,"Siklab Innovations is looking for a Junior Data Analyst based in Cebu City. Responsibilities include working with Power BI, Excel, Tableau. The ideal candidate has strong analytical and communication skills."
JP0009,Senior Data Engineer,Banwa Digital,"Pasig, Metro Manila",Onsite,Full Time,₱144.0K - ₱184.0K /mo,2026-01-15,"Banwa Digital is looking for a Senior Data Engineer based in Pasig. Responsibilities include working with Airflow, Spark, Azure, Snowflake, SQL. The ideal candidate has strong analytical and communication skills."
JP0082,Senior Business Intelligence Analyst,Saysay Technologies,"Makati, Metro Manila",Hybrid,Permanent,Negotiable,27-May-26,"Saysay Technologies is looking for a Senior Business Intelligence Analyst based in Makati. Responsibilities include working with Data Modeling, Tableau, DAX. The ideal candidate has strong analytical and communication skills."
JP0007,Business Intelligence Analyst,Banwa Digital,"Iloilo City, Western Visayas",Remote,full-time,"₱54,000 - ₱69,000 / month","Jan 12, 2026","Banwa Digital is looking for a Business Intelligence Analyst based in Iloilo City. Responsibilities include working with Power Query, Tableau, Data Modeling, Power BI, DAX. The ideal candidate has strong analytical and communication skills."
JP0068,Senior Product Analyst,Bughaw Systems,"Quezon City, Metro Manila",Remote,Contract,"₱83,000 - ₱106,000 / month",05/03/2026,"Bughaw Systems is looking for a Senior Product Analyst based in Quezon City. Responsibilities include working with Python, Excel, Tableau. The ideal candidate has strong analytical and communication skills."
JP0037,Senior Analytics Engineer,Alon Digital Ventures,"Taguig, Metro Manila",Hybrid ,Full-time,"Up to ₱155,000/month",03/08/2026,"Alon Digital Ventures is looking for a Senior Analytics Engineer based in Taguig. Responsibilities include working with Git, SQL, dbt. The ideal candidate has strong analytical and communication skills."
JP0091,Analytics Engineer,Tagpo Technologies,,On-site,Contract,"₱84,000 - ₱107,000 / month","Jun 12, 2026","Tagpo Technologies is looking for a Analytics Engineer based in Quezon City. Responsibilities include working with Snowflake, Data Modeling, SQL. The ideal candidate has strong analytical and communication skills."
JP0084,Junior Data Engineer - Hybrid,Duyan AI Labs,"Pasig, Metro Manila",Hybrid,Full-time ,"₱64,000 - ₱82,000 / month",2026-05-31,"Duyan AI Labs is looking for a Junior Data Engineer based in Pasig. Responsibilities include working with SQL, ETL, Spark, Airflow, Python. The ideal candidate has strong analytical and communication skills."
JP0055,Business Intelligence Analyst - Hybrid,Duyan AI Labs,"Quezon City, Metro Manila",Hybrid,Contract,"PHP 60,000-77,000 monthly",04/09/2026,"Duyan AI Labs is looking for a Business Intelligence Analyst based in Quezon City. Responsibilities include working with SQL, Power Query, Power BI, DAX, Tableau, Data Modeling. The ideal candidate has strong analytical and communication skills."
JP0051,Senior Analytics Engineer,Siklab Innovations,"Pasig, Metro Manila",Remote,Full Time,,02-Apr-26,"Siklab Innovations is looking for a Senior Analytics Engineer based in Pasig. Responsibilities include working with Python, SQL, Git, Data Modeling, Snowflake. The ideal candidate has strong analytical and communication skills."
JP0071,AI/ML Engineer (Urgent),Tagpo Technologies,"Mandaluyong, Metro Manila",Onsite,Full-time,"PHP 129,000-164,000 monthly","May 07, 2026","Tagpo Technologies is looking for a AI/ML Engineer based in Mandaluyong. Responsibilities include working with Machine Learning, NLP, PyTorch, TensorFlow, Generative AI, Python. The ideal candidate has strong analytical and communication skills."
JP0047,Data Analyst (Remote),Bughaw Systems,"Iloilo City, Western Visayas",Onsite,full-time,"PHP 40,000-52,000 monthly",28-Mar-26,"Bughaw Systems is looking for a Data Analyst based in Iloilo City. Responsibilities include working with Power BI, Tableau, Python. The ideal candidate has strong analytical and communication skills."
JP0100,Product Analyst - Hybrid,Duyan AI Labs,"Mandaluyong, Metro Manila",Onsite,Full Time,"PHP 55,000-71,000 monthly",30-Jun-26,"Duyan AI Labs is looking for a Product Analyst based in Mandaluyong. Responsibilities include working with Python, Statistics, Excel, SQL. The ideal candidate has strong analytical and communication skills."
JP0062,Junior Data Engineer,Kislap Labs,"Mandaluyong, Metro Manila",Hybrid ,Permanent,,2026-04-21,"Kislap Labs is looking for a Junior Data Engineer based in Mandaluyong. Responsibilities include working with ETL, Airflow, Python, SQL, Azure. The ideal candidate has strong analytical and communication skills."
JP0084,Junior Data Engineer - Hybrid,Duyan AI Labs,"Pasig, Metro Manila",Hybrid,Full-time ,"₱64,000 - ₱82,000 / month",2026-05-31,"Duyan AI Labs is looking for a Junior Data Engineer based in Pasig. Responsibilities include working with SQL, ETL, Spark, Airflow, Python. The ideal candidate has strong analytical and communication skills."
JP0097,Lead Data Engineer (Urgent),Duyan AI Labs,"Mandaluyong, Metro Manila",remote,Contract,"173,000 to 221,000 PHP per month",06/26/2026,"Duyan AI Labs is looking for a Lead Data Engineer based in Mandaluyong. Responsibilities include working with Snowflake, SQL, Spark, ETL, Azure. The ideal candidate has strong analytical and communication skills."
JP0042,SENIOR DATA ENGINEER,Bughaw Systems,"Iloilo City, Western Visayas",Hybrid,full-time,,18-Mar-26,"Bughaw Systems is looking for a Senior Data Engineer based in Iloilo City. Responsibilities include working with Spark, ETL, Python. The ideal candidate has strong analytical and communication skills."
JP0059,DATA ENGINEER,Tagpo Technologies,"Davao City, Davao Region",Remote,Permanent,₱86.0K - ₱109.0K /mo,"Apr 15, 2026","Tagpo Technologies is looking for a Data Engineer based in Davao City. Responsibilities include working with Azure, Airflow, Snowflake, SQL, ETL, Spark. The ideal candidate has strong analytical and communication skills."
JP0049,Lead Data Engineer  ,Bughaw Systems,"Cebu City, Central Visayas",Onsite,Permanent,₱154.0K - ₱197.0K /mo,2026-03-28,"Bughaw Systems is looking for a Lead Data Engineer based in Cebu City. Responsibilities include working with ETL, Azure, Airflow, Snowflake, Python, SQL, Spark. The ideal candidate has strong analytical and communication skills."
JP0090,DATA ENGINEER,Bughaw Systems,"Makati, Metro Manila",Hybrid,Contract,,06/11/2026,"Bughaw Systems is looking for a Data Engineer based in Makati. Responsibilities include working with Azure, Snowflake, ETL. The ideal candidate has strong analytical and communication skills."
JP0058,Senior Product Analyst,Tagpo Technologies,"Taguig, Metro Manila",On-site,Full-time ,"Up to ₱106,000/month",2026-04-14,"Tagpo Technologies is looking for a Senior Product Analyst based in Taguig. Responsibilities include working with SQL, Statistics, Python, Tableau. The ideal candidate has strong analytical and communication skills."
JP0076,Lead Product Analyst (Urgent),Bughaw Systems,"Quezon City, Metro Manila",WFH,Full-time ,Negotiable,05/19/2026,"Bughaw Systems is looking for a Lead Product Analyst based in Quezon City. Responsibilities include working with Excel, SQL, Python, Statistics. The ideal candidate has strong analytical and communication skills."
JP0033,Data Scientist,Tagpo Technologies,"Davao City, Davao Region",Onsite,Contract,"Up to ₱108,000/month",02-Mar-26,"Tagpo Technologies is looking for a Data Scientist based in Davao City. Responsibilities include working with Machine Learning, Python, Statistics. The ideal candidate has strong analytical and communication skills."
JP0098,Analytics Engineer,Siklab Innovations,"Cebu City, Central Visayas",Hybrid,Permanent,,27-Jun-26,"Siklab Innovations is looking for a Analytics Engineer based in Cebu City. Responsibilities include working with Git, SQL, dbt, Data Modeling. The ideal candidate has strong analytical and communication skills."
JP0060,Lead Data Scientist (Remote),Alon Digital Ventures,"Cebu City, Central Visayas",On-site,Full-time ,"PHP 157,000-201,000 monthly","Apr 20, 2026","Alon Digital Ventures is looking for a Lead Data Scientist based in Cebu City. Responsibilities include working with SQL, Deep Learning, Statistics, Machine Learning, Python, Pandas. The ideal candidate has strong analytical and communication skills."
JP0064,Senior Business Intelligence Analyst (Remote),Alon Digital Ventures,"Taguig, Metro Manila",remote,Full-time,"91,000 to 116,000 PHP per month","Apr 27, 2026","Alon Digital Ventures is looking for a Senior Business Intelligence Analyst based in Taguig. Responsibilities include working with Power Query, Power BI, Data Modeling, DAX. The ideal candidate has strong analytical and communication skills."
JP0054,AI/ML Engineer,Siklab Innovations,"Davao City, Davao Region",On-site,Permanent,₱115.0K - ₱147.0K /mo,2026-04-06,"Siklab Innovations is looking for a AI/ML Engineer based in Davao City. Responsibilities include working with PyTorch, TensorFlow, Machine Learning, Generative AI, NLP, Python. The ideal candidate has strong analytical and communication skills."
JP0038,Data Engineer,Alon Digital Ventures,"Taguig, Metro Manila",WFH,Permanent,Negotiable,"Mar 10, 2026","Alon Digital Ventures is looking for a Data Engineer based in Taguig. Responsibilities include working with Snowflake, Azure, SQL. The ideal candidate has strong analytical and communication skills."
JP0030,Junior Data Analyst,Banwa Digital,"Davao City, Davao Region",WFH,full-time,"PHP 29,000-37,000 monthly","Feb 24, 2026","Banwa Digital is looking for a Junior Data Analyst based in Davao City. Responsibilities include working with SQL, Excel, Power BI, Python, Statistics, Tableau. The ideal candidate has strong analytical and communication skills."
JP0002,Business Intelligence Analyst,Saysay Technologies,"Cebu City, Central Visayas",WFH,Full Time,"54,000 to 69,000 PHP per month",01/02/2026,"Saysay Technologies is looking for a Business Intelligence Analyst based in Cebu City. Responsibilities include working with Data Modeling, Tableau, DAX. The ideal candidate has strong analytical and communication skills."
JP0053,Lead AI/ML Engineer,,"Makati, Metro Manila",Remote,Full-time ,"Up to ₱275,000/month",08-Apr-26,"Banwa Digital is looking for a Lead AI/ML Engineer based in Makati. Responsibilities include working with Generative AI, PyTorch, NLP, Python. The ideal candidate has strong analytical and communication skills."
JP0022,Data Scientist (Urgent),Duyan AI Labs,"Quezon City, Metro Manila",remote,full-time,,2026-02-11,"Duyan AI Labs is looking for a Data Scientist based in Quezon City. Responsibilities include working with Statistics, SQL, Python, Pandas, Machine Learning, Deep Learning. The ideal candidate has strong analytical and communication skills."
JP0003,Senior Business Intelligence Analyst,Duyan AI Labs,,Hybrid ,Full-time ,"₱91,000 - ₱116,000 / month","Jan 07, 2026","Duyan AI Labs is looking for a Senior Business Intelligence Analyst based in Taguig. Responsibilities include working with DAX, Tableau, Power Query, SQL, Power BI, Data Modeling. The ideal candidate has strong analytical and communication skills."
JP0024,Junior Product Analyst,Hiraya Techworks,"Makati, Metro Manila",Hybrid,Full-time ,₱40.0K - ₱51.0K /mo,2026-02-14,"Hiraya Techworks is looking for a Junior Product Analyst based in Makati. Responsibilities include working with Python, Excel, Statistics. The ideal candidate has strong analytical and communication skills."
